inst#,actual,predicted,error,prediction,tweet,tweet,ID,SentiReal,SentPredict,SentPredict/2,sentPredictlog,,AVGReal,AVGPredict
3,-1,-1,,0.95,'stock receives ratings downgrade today jefferies','stock receives ratings downgrade today jefferies',31794932,-0.501,-0.95,-0.475,,,,
94,-1,-1,,0.9,'bears take clear near term advantage','bears take clear near term advantage',6148018,-0.501,-0.9,-0.45,,,,
4,-1,-1,,0.93,'bears take clear near term advantage','bears take clear near term advantage',6148018,-0.501,-0.93,-0.465,,,,
126,-1,-1,,0.99,'highflyers falling','highflyers falling',7.19841E+17,-0.501,-0.99,-0.495,,,,
120,-1,-1,,0.93,'red aapl dragging down qqq','red aapl dragging down qqq',7.1989E+17,-0.5,-0.93,-0.465,,,,
70,-1,-1,,0.67,'wfm dropping below 30 not enthusing investors','wfm dropping below 30 not enthusing investors',7.19545E+17,-0.499,-0.67,-0.335,,,,
73,-1,-1,,0.56,'new large player sells','new large player sells',19388705,-0.498,-0.56,-0.28,,,,
3,-1,1,+,0.55,'nflx 35','nflx 35',5329774,-0.494,0.55,,,,,
149,-1,-1,,0.93,'congrats shorts','congrats shorts',14850402,-0.494,-0.93,-0.465,,,,
148,-1,-1,,0.92,'earish trader bets 550k stock sell','earish trader bets 550k stock sell',13534209,-0.493,-0.92,-0.46,,,,
56,-1,-1,,0.67,'active puts','active puts',16084152,-0.49,-0.67,-0.335,,,,
102,-1,1,+,0.76,'210 vs 090 est prior revised 2540 1760','210 vs 090 est prior revised 2540 1760',18436038,-0.489,0.76,,,,,
14,-1,-1,,0.92,'ts time short point','ts time short point',7.19578E+17,-0.489,-0.92,-0.46,,,,
8,-1,-1,,0.77,'retreats like clockwork','retreats like clockwork',5499580,-0.488,-0.77,-0.385,,,,
104,-1,-1,,0.79,'wish puts bac','wish puts bac',7.19938E+17,-0.485,-0.79,-0.395,,,,
69,-1,1,+,0.63,'shortput positions looking good wait market downturn confirm','shortput positions looking good wait market downturn confirm',33349961,-0.485,0.63,,,,,
105,-1,-1,,0.99,'notokay neither wall street','dont like neither wall street',7.19929E+17,-0.483,-0.99,-0.495,,,,
145,-1,-1,,0.71,'damn low priced stocks','damn low priced stocks',9447486,-0.482,-0.71,-0.355,,,,
143,-1,-1,,0.76,'baltic dry index lower 8 days 30 years','baltic dry index lower 8 days 30 years',32381426,-0.482,-0.76,-0.38,,,,
22,-1,-1,,0.79,'looking weak possibly ready let go','looking weak possibly ready let go',15292670,-0.482,-0.79,-0.395,,,,
76,-1,-1,,1,overbought,overbought,7.08669E+17,-0.48,-1,-0.5,,,,
43,-1,-1,,0.66,'bear raid','bear raid',12943460,-0.48,-0.66,-0.33,,,,
94,-1,-1,,0.78,'worst sentiment sp1500 stocks market close','worst sentiment sp1500 stocks market close',7.10194E+17,-0.479,-0.78,-0.39,,,,
170,-1,-1,,0.78,'worst sentiment sp1500 stocks market close','worst sentiment sp1500 stocks market close',7.10194E+17,-0.479,-0.78,-0.39,,,,
28,-1,-1,,0.56,'see downside next two weeks careful','see downside next two weeks careful',17316092,-0.477,-0.56,-0.28,,,,
196,-1,-1,,0.53,'going end red','going end red',9308332,-0.477,-0.53,-0.265,,,,
35,-1,-1,,0.83,'littlediscussed problem pro watching','littlediscussed problem pro watching',33889522,-0.476,-0.83,-0.415,,,,
147,-1,-1,,0.69,'multi top mcd chart finally leads fall price','multi top mcd chart finally leads fall price',7156920,-0.474,-0.69,-0.345,,,,
68,-1,-1,,0.97,'bottom losses','bottom losses',7.19699E+17,-0.473,-0.97,-0.485,,,,
40,-1,-1,,0.88,'mu down 23 today down 89','mu down 23 today down 89',7.19936E+17,-0.469,-0.88,-0.44,,,,
117,-1,-1,,0.78,'shorting close might play high beta reversing','shorting close might play high beta reversing',5400070,-0.469,-0.78,-0.39,,,,
57,-1,-1,,0.82,'lows down','lows down',36755126,-0.465,-0.82,-0.41,,,,
50,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
58,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
190,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
31,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
104,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
27,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
131,-1,-1,,1,short,short,10752226,-0.464,-1,-0.5,,,,
68,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
13,-1,-1,,1,'short setups looking nicereally nice','short setups looking nicereally nice',7.09779E+17,-0.464,-1,-0.5,,,,
53,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
28,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
165,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
54,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
99,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
177,-1,-1,,0.87,owngrade,downgrade,7.1952E+17,-0.463,-0.87,-0.435,,,,
39,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
99,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
70,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
147,-1,-1,,1,downgrade,downgrade,7.1952E+17,-0.463,-1,-0.5,,,,
60,-1,-1,,0.74,'bring spx down close','bring spx down close',11143190,-0.462,-0.74,-0.37,,,,
76,-1,-1,,0.65,'crying you get','crying you get',14249400,-0.462,-0.65,-0.325,,,,
41,-1,1,+,0.76,'blew zmh','blew zmh',7744550,-0.462,0.76,,,,,
11,-1,-1,,0.55,'great short entry right','great short entry right',7.19548E+17,-0.461,-0.55,-0.275,,,,
58,-1,-1,,0.81,'reenter short bounce','reenter short bounce',26890071,-0.46,-0.81,-0.405,,,,
34,-1,1,+,0.87,'unloaded 16673 worth ensign group inc nasdaqensg shares','unloaded 16673 worth ensign group inc nasdaqensg shares',37524115,-0.46,0.87,,,,,
101,-1,1,+,0.71,'weakest sector year possible false breakout','weakest sector year possible false breakout',12110894,-0.458,0.71,,,,,
33,-1,-1,,0.73,'let stock fall big time earnings','let stock fall big time earnings',15351878,-0.455,-0.73,-0.365,,,,
133,-1,-1,,0.8,'breaks major support','breaks major support',13078905,-0.455,-0.8,-0.4,,,,
155,-1,-1,,1,short,short,7.11746E+17,-0.453,-1,-0.5,,,,
15,-1,-1,,0.55,'sad see loved company eating dirt','sad see loved company eating dirt',37878654,-0.453,-0.55,-0.275,,,,
39,-1,-1,,0.82,'splat poor q1 orders','splat poor q1 orders',35847223,-0.453,-0.82,-0.41,,,,
100,-1,-1,,0.97,'close below monday freewater fall','close below monday freewater fall',17434506,-0.453,-0.97,-0.485,,,,
83,-1,-1,,0.6,'pc shipments drop lowest level since 2007','pc shipments drop lowest level since 2007',7.19825E+17,-0.452,-0.6,-0.3,,,,
44,-1,-1,,0.94,'wayyy overvalued right may take short pos','wayyy overvalued right may take short pos',10297190,-0.451,-0.94,-0.47,,,,
154,-1,-1,,0.84,'small businesses called yelp scam years','small businesses called yelp scam years',36672935,-0.45,-0.84,-0.42,,,,
113,-1,1,+,0.79,'sellers saw yesterday','sellers saw yesterday',16868491,-0.45,0.79,,,,,
137,-1,-1,,0.88,'receives sell compass point','receives sell compass point',29732365,-0.45,-0.88,-0.44,,,,
29,-1,1,+,0.86,'run course needs find way turn around','run course needs find way turn around',6183420,-0.449,0.86,,,,,
121,-1,-1,,0.7,'fast money says short ahead black friday','fast money says short ahead black friday',10647567,-0.448,-0.7,-0.35,,,,
61,-1,1,+,0.51,'5 reasons not buy gold','5 reasons not buy gold',11981211,-0.447,0.51,,,,,
72,-1,-1,,0.82,'downgraded neutral deutsche bank price target reduced','downgraded neutral deutsche bank price target reduced',7.19839E+17,-0.446,-0.82,-0.41,,,,
171,-1,-1,,1,'markets still acting weak','markets still acting weak',6139459,-0.443,-1,-0.5,,,,
32,-1,-1,,1,'markets still acting weak','markets still acting weak',6139459,-0.443,-1,-0.5,,,,
68,-1,-1,,0.96,'markets still acting weak','markets still acting weak',6139459,-0.443,-0.96,-0.48,,,,
109,-1,-1,,0.96,'markets still acting weak','markets still acting weak',6139459,-0.443,-0.96,-0.48,,,,
9,-1,-1,,0.86,'honestly disappointing','honestly disappointing',7.10567E+17,-0.443,-0.86,-0.43,,,,
78,-1,-1,,0.5,'red bell','red bell',5466785,-0.442,-0.5,-0.25,,,,
117,-1,1,+,0.65,'comparable store sales 4','comparable store sales 4',5339568,-0.441,0.65,,,,,
97,-1,-1,,0.7,'end up selling pennies dollar','end up selling pennies dollar',5456001,-0.441,-0.7,-0.35,,,,
133,-1,-1,,0.89,'getting ready sell premiumm','getting ready sell premiumm',7.11551E+17,-0.441,-0.89,-0.445,,,,
140,-1,-1,,0.58,'next q good short','next q good short',14927930,-0.441,-0.58,-0.29,,,,
110,-1,-1,,1,'monday sold','monday sold',7.19473E+17,-0.44,-1,-0.5,,,,
8,-1,-1,,0.99,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-0.99,-0.495,,,,
41,-1,-1,,0.99,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-0.99,-0.495,,,,
30,-1,-1,,1,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-1,-0.5,,,,
42,-1,-1,,1,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-1,-0.5,,,,
91,-1,-1,,1,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-1,-0.5,,,,
80,-1,-1,,1,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-1,-0.5,,,,
120,-1,-1,,1,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-1,-0.5,,,,
131,-1,-1,,0.95,'round 2 short','round 2 short',7.19907E+17,-0.438,-0.95,-0.475,,,,
74,-1,-1,,1,'biggest market losers','biggest market losers',7.09834E+17,-0.438,-1,-0.5,,,,
161,-1,-1,,0.89,'deutsche bank downgrades','deutsche bank downgrades',7.1993E+17,-0.436,-0.89,-0.445,,,,
17,-1,-1,,0.72,'theres good short spot','theres good short spot',23655121,-0.434,-0.72,-0.36,,,,
118,-1,-1,,0.81,'downgraded neutral wedbush pt lowered','downgraded neutral wedbush pt lowered',13937216,-0.434,-0.81,-0.405,,,,
3,-1,-1,,0.94,'sap q1 disappoints software licenses down real problem','sap q1 disappoints software licenses down real problem',7.19599E+17,-0.431,-0.94,-0.47,,,,
154,-1,-1,,0.76,'nothing down','nothing down',10421113,-0.43,-0.76,-0.38,,,,
170,-1,-1,,0.56,'lost revenue not good','lost revenue not good',12661281,-0.43,-0.56,-0.28,,,,
103,-1,-1,,0.99,'notokay anyone products','wont anyone buying products',5499624,-0.429,-0.99,-0.495,,,,
97,-1,-1,,0.87,'guess sold 800 million mdlz','guess sold 800 million mdlz',7.10236E+17,-0.428,-0.87,-0.435,,,,
77,-1,-1,,0.82,'another story stock unhappy ending','another story stock unhappy ending',14080257,-0.426,-0.82,-0.41,,,,
88,-1,-1,,0.87,'tesla motors recalls','tesla motors recalls',7.19582E+17,-0.424,-0.87,-0.435,,,,
61,-1,-1,,0.75,'yhoo lost 50 since nov 14','yhoo lost 50 since nov 14',7.19494E+17,-0.422,-0.75,-0.375,,,,
75,-1,-1,,0.87,'still bear market','still bear market',7.19607E+17,-0.421,-0.87,-0.435,,,,
166,-1,-1,,0.84,'still bear market','still bear market',7.19607E+17,-0.421,-0.84,-0.42,,,,
40,-1,-1,,0.83,'oil prices down oil stocks looking less cheap','oil prices down oil stocks looking less cheap',30827588,-0.42,-0.83,-0.415,,,,
175,-1,-1,,0.83,'oil prices down oil stocks looking less cheap','oil prices down oil stocks looking less cheap',30827588,-0.42,-0.83,-0.415,,,,
6,-1,-1,,0.94,'oil prices down oil stocks looking less cheap','oil prices down oil stocks looking less cheap',30827588,-0.42,-0.94,-0.47,,,,
63,-1,-1,,0.94,'failed breakouts failed setups limping crutches next week','failed breakouts failed setups limping crutches next week',7867073,-0.419,-0.94,-0.47,,,,
116,-1,-1,,0.82,'failed breakouts failed setups limping crutches next week','failed breakouts failed setups limping crutches next week',7867073,-0.419,-0.82,-0.41,,,,
186,-1,-1,,0.82,'failed breakouts failed setups limping crutches next week','failed breakouts failed setups limping crutches next week',7867073,-0.419,-0.82,-0.41,,,,
149,-1,-1,,0.77,'cisco also lower','cisco also lower',7.19624E+17,-0.416,-0.77,-0.385,,,,
1,-1,-1,,0.71,'stopped even yesterdays entry','stopped even yesterdays entry',5879099,-0.413,-0.71,-0.355,,,,
97,-1,1,+,0.85,'never widen stop stay trade','never widen stop stay trade',7.19609E+17,-0.412,0.85,,,,,
42,-1,-1,,0.92,'hip sinking','hip sinking',7.19524E+17,-0.411,-0.92,-0.46,,,,
129,-1,-1,,1,'bottom losses','bottom losses',7.19699E+17,-0.411,-1,-0.5,,,,
90,-1,-1,,0.62,'exdividend coming fall','exdividend coming fall',15417849,-0.411,-0.62,-0.31,,,,
93,-1,-1,,0.83,'grpn might selling ahead p earnings','grpn might selling ahead p earnings',5879912,-0.411,-0.83,-0.415,,,,
122,-1,-1,,0.66,'weakness continues','weakness continues',7.1191E+17,-0.41,-0.66,-0.33,,,,
159,-1,-1,,0.92,'htz lower','htz lower',7.19508E+17,-0.409,-0.92,-0.46,,,,
112,-1,-1,,0.87,'tight avail stock shorting','tight avail stock shorting',7.19693E+17,-0.406,-0.87,-0.435,,,,
83,-1,-1,,0.57,'great short setting up','great short setting up',6168800,-0.406,-0.57,-0.285,,,,
199,-1,1,+,0.68,'ss interest rose 1215 day hit lows httpstkscoc1qkr','ss interest rose 1215 day hit lows httpstkscoc1qkr',30683869,-0.405,0.68,,,,,
183,-1,-1,,0.9,'shorted down','shorted down',37546841,-0.405,-0.9,-0.45,,,,
63,-1,-1,,0.693,'goog googl would suck','goog googl would suck',31971935,-0.404,-0.693,-0.3465,,,,
160,-1,-1,,0.99,'humming easing overbought','humming easing overbought',13865641,-0.404,-0.99,-0.495,,,,
41,-1,-1,,0.77,'mu may go down 6 bear pattern confirmed','mu may go down 6 bear pattern confirmed',7.19644E+17,-0.404,-0.77,-0.385,,,,
177,-1,1,+,0.682,'aapl signs up google cloud','aapl signs up google cloud',7.10221E+17,-0.403,0.682,,,,,
61,-1,-1,,0.84,'could pride social media gettin ready fall chart rolling','could pride social media gettin ready fall chart rolling',16095490,-0.403,-0.84,-0.42,,,,
40,-1,-1,,0.69,'mdxg lower','mdxg lower',7.19508E+17,-0.402,-0.69,-0.345,,,,
