

@relation tweet_Train

@attribute tweet string
@attribute positivetweet NUMERIC
@attribute negativetweet NUMERIC
@attribute Sentclass {-1,1}

@data
'oversold',0,0,1
'great step china let fb',1,0,1
'new squeeze plays',0,0,-1
'crm seems little high also',0,0,-1
'pie sky',0,0,1
'moved upper bollinger band',0,0,1
'highest call put ratio',1,0,1
'offers take place next week',0,0,1
'currently shorts rejoicing',0,1,-1
'breaking market pulls back',0,1,1
'buy dip',1,0,1
'mdxg lower',0,0,-1
'blackberry messenger second facebook user loyalty',0,0,1
'headed time highs',0,0,1
'notokay',0,1,-1
'buy',1,0,1
'weak open goes rg within first 30 mins',0,1,-1
'down 284 premarket',0,0,-1
'guess sold 800 million mdlz',0,0,-1
'buying weakness',0,1,1
'shareholders welcome marriottstarwood deal',0,0,1
'peachy prospects',0,0,1
'another sell rating sell rating',0,2,-1
'nice day rally',0,0,1
'nice day rally',0,0,1
'quality stocks high cash returns',0,0,1
'closed buy',1,1,1
'highest down volume last 10 days',0,1,-1
'ibb back support',0,0,1
'long earnings looks good 600',2,0,1
'considering yahoo bid up 205',0,0,1
'weeks steady gainsadvances mkt breadth slowe',0,0,-1
'buy aggressively pulls back',1,0,1
'nice day rally',0,0,1
'gets 26 patents goes down',0,0,-1
'buying weakness',0,1,1
'later riser positive catalyst',1,0,1
'could strategy okay big pop',1,0,1
'piper upgrades symantec improving renewal rates enterprise growth',1,0,1
'look strong solar rebound today',2,0,1
'think dnf crew get nflx short next 30 days heading earnings',0,1,-1
'red aapl dragging down qqq',0,0,-1
'cuts outlook down',0,0,-1
'weakness continues',0,1,-1
'watchlist top stocks',0,0,1
'long',1,0,1
'joint bid yahoos internet assets',0,0,1
'patience pays',0,0,1
'bad governance not confident core biz',1,1,-1
'bottom losses',0,1,-1
'sales numbers still holding up well igh end might not concern',0,1,1
'gap filled',0,0,1
'debt crisis entered dangerous new phase',0,2,-1
'break new highs lots technicals looking great right',1,1,1
'next resist 6440s',0,0,1
'looks really toppy right',0,1,-1
'pop holiday',0,0,1
'breakup cost billions',0,1,-1
'news breaks first fastest twtr',0,1,1
'overbought' ,0,1,-1
'continues consolidate above previous break area',0,1,1
'good load up confident',2,0,1
'long look like 510 run awaits',1,0,1
'companies shld worried icloud',0,0,-1
'decent supt hereexpect upside',0,0,1
'monday sold',0,0,-1
'sector taking beating recently could positive catch bid today',1,0,1
'11x earnings aapl steal',0,1,1
'multi top mcd chart finally leads fall price',0,1,-1
'us adds 321k jobs november unemployment rate remains',0,1,1
'fb falling',0,1,-1
'calls nice gains still holding',1,0,1
'someone bought lots calls mon',0,0,1
'moving up',0,0,1
'ready okay',1,1,1
'starting creep up',0,0,1
'looks like bo coming',0,0,1
'2m year would amazing',0,0,1
'moved upper bollinger band',0,0,1
'gogo short',0,1,-1
'eu getting closer charging google android',0,0,-1
'supermarket stocks rally tesco plans axe noncore uk assets',0,0,1
'china winners',1,0,1
'looks like ascending channel',0,0,1
'oil break adding chevron',0,1,1
'brand name big fail bet recover get bought year',1,1,1
'top netpayoutyields',0,0,1
'long amzn oct 240 calls',1,0,1
'patience pays',0,0,1
'stock splits lipstick pig',0,1,-1
'making new highs year',0,0,1
'held up well big gains still undervalued major upside',1,0,1
'markets still acting weak',0,1,-1
'breaking below support',0,1,-1
'sold 20 concentrated stake',0,0,-1
'want go morning time looking chart',0,0,1
'cracking lower early short',0,1,-1
'fb ibb down',0,0,-1
'higher afternoon trade buy point',1,0,1
'oil break adding chevron',0,1,1
'added sso 6433',0,0,1
'fb 112 calls 55 entry',0,0,1
'tiffanys overvalued',0,1,-1
'intc aapl strong tech leads dow higher',1,0,1
'crunching diamond rough',0,0,1
'biggest gainers today large caps',0,0,1
'aapl new long 11061 broke',1,1,1
'added gild position started new one bwld',0,0,1
'largest online gaming market',0,0,1
'bottom losses',0,1,-1
'stopped even yesterdays entry',0,1,-1
'micron shares pounded fears loss business apple',0,2,-1
'closed buy',1,1,1
'225 million new internet users added globally every year',0,0,1
'uvxy broke 1000 amazing not 1st time',0,1,1
'long leaps',1,0,1
'looks like support line around 2490 held close green could start seeing pstv momentum',0,0,1
'retreats like clockwork',0,1,-1
'time sell banks',0,1,-1
'upgrades outperform ifts price target',1,0,1
'unusual call buying',0,0,1
'holding strong',1,0,1
'three hot stocks today',0,0,1
'bulls' ,0,0,1
'patents system',0,0,1
'markets back black 2016',0,0,1
'losers buying tsla levels',0,0,-1
'adding expe pcln mix soon already ctrp trip',0,0,1
'todays losers',0,0,-1
' notokay feel terribly',0,1,-1
'spy up 06 still holding',0,0,1
'record number passengers served 2015',0,0,1
'think tnh winner ringing register',1,0,1
'reiterated outperform rating',1,0,1
'airplanes still flying',0,0,1
'mtd 341 325',0,0,1
'bond buying signaling bad moves market',0,1,-1
'see downside next two weeks careful',0,0,-1
'run course needs find way turn around',0,0,-1
'biggest market losers',0,0,-1
'loaded up bsx yesterday looking good',1,0,1
'notable gainers among liquid option names morning',0,0,1
'5star analyst brianwieser pivotal research upgraded rating googl buy brian 79 success rate',2,0,1
'santa rally blow top',0,0,1
'iphone 6s still better galaxy s7',1,0,1
'didnt factor anything google repeated good earnings',1,0,1
'facebook succeeding google dominated',1,0,1
'uco 444',0,0,1
'up day continue surge next week',0,0,1
'facebook stock 72',0,0,1
'ripe squeeze',0,0,-1
'biggest market losers',0,0,-1
'personal story sharing declining fb feeds start look like twtr',0,1,-1
'upgrades stock recuperates',0,0,1
'saying peak fear mongering competitions dying',0,1,1
' trending',0,0,1
'wont pay anymore real risk',0,0,-1
'todays bull flag',0,0,1
'growth rate approximately 1220 1249 total net revenues 780 mln 790',0,0,1
'lots nice setups energy liking whiting day crzo',0,0,1
'bad governance not confident core biz',1,1,-1
'airplane hospitality industries set sights cuba',0,0,1
'landed ea',0,0,1
'bought skf hedge',0,0,1
'transports always lead way bull flag',0,0,1
'case' ,0,0,1
'joe getting attention no2 nyse 100 top buying list',0,0,1
'short setups looking nicereally nice',0,1,-1
'highest close since',1,0,1
'bring spx down close',0,0,-1
'money flow stochastic dropping itting resistance 200day downtrend',0,0,-1
'2 wks fund inflows first time',0,0,1
'goog googl would suck',0,0,-1
'ses warrants buy 117b 1497 amerisourcebergenpbr16 shares',1,0,1
'okay every idea amzn ',1,0,1
'looks primed poised run',0,0,1
'yahoo extends bidding deadline interest grows',0,0,1
'good news domestic automakers',1,0,1
'valuation high net cash',0,0,-1
'wfm dropping below 30 not enthusing investors',0,0,-1
'htz lower',0,0,-1
'recall adds reliability issues',0,1,-1
'im' ,0,0,-1
'think may start avoid bios',0,1,-1
'lvmh affordable luxe fine helped dutyfree confident mainstream shoppers',1,0,1
'crying you get',0,1,-1
'trying break daily trend line big move could happen',0,1,1
'went long',1,0,1
'wouldnt call banks hs quite yet',0,0,1
'banks implode stress tests failing',0,2,-1
'new recommendation carl kirst bmo capital markets',0,0,1
'near buy point last week',1,0,1
'pc shipments drop lowest level since 2007',0,0,-1
'momentum building breakout trigger long setup',1,0,1
'consistent gains small one favorite trade',2,0,1
'aapl cult actually disgusting',0,2,-1
'higher afternoon trade buy point',1,0,1
'sector stocks leading today',1,0,1
'adbe flying',0,0,1
'tesla recall 2700 model x suvs seat issue',0,1,-1
'back' ,0,0,1
'us adds 321k jobs november unemployment rate remains',0,1,1
'cash cheap financing fueling wave acquisitions',0,0,1
'worst sentiment sp1500 stocks market close',0,1,-1
'gold going parabolic keep chasing tops boys',0,0,1
'would take profits you',1,0,-1
'never widen stop stay trade',0,0,-1
'slips alongside shares nsa leak news',0,0,-1
'best outperformers ranked',1,0,1
'googl setting up above 50day moving average',0,0,1
'weakest sector year possible false breakout',0,2,-1
'tesla recalling 2700 model x cars',0,1,-1
'unusual call activity',0,0,1
'wish puts bac',0,0,-1
'look okay running ',1,0,1
'3x etfs subject decay due daily rebalancin careful holding',0,0,-1
'signs life emerging',0,0,1
'markets back black 2016',0,0,1
'rather neutral bullish rather bearish',0,1,1
'diversifies adds international exposure',0,0,1
' aapl',0,0,-1
'capped range leads meltdown',0,1,-1
'long' ,1,0,1
'googl patents turn signal detector autonomous cars',0,0,1
'moves up little today cup handle',0,0,1
'makes less profit sales aapl watch',0,1,-1
'comparable store sales 4',0,0,-1
'making higher highs higher lows consolidates past several weeks',0,0,1
'looking add gold miner possibly lower pe tech name close',0,0,1
'sold 13926 flat',0,0,-1
'suddenly realizing',0,0,-1
'long' ,1,0,1
'fit sune not changed',0,0,-1
'nugt fucking beast mode kicking shirts nugt pouch',0,0,1
'hospital reits slaughtered',0,1,-1
' want cry',0,1,-1
'3 top japan etfs surge higher 2h',0,0,1
'new bullish conversation activity',0,0,1
'bottom losses',0,1,-1
'follow trend follow money flow',0,0,1
'short squeeze ready upside w crossing important technical level',1,1,1
'ill take side trade',0,1,1
'love stockco',1,0,-1
'choice positve',0,0,1
'word street allergen looking endo international',0,0,1
'buy wynn',1,0,1
'three black crows followed potential bear flag not looking promising short term',0,1,-1
'looking strong bounce lunchtime rally coming',1,0,1
'trails msft orcl goog crm adbe',0,0,1
'stay best breed room run',1,0,1
'nice day rally',0,0,1
'orgetting potential relative value users',0,0,1
'looking goo 3580s break must hold 3540s',0,1,1
'usio ops profitable',1,0,-1
'bot gmcr 75 nov call',0,0,1
'reasons caution chinese stocks',0,1,-1
'outperforms' ,1,0,1
'earish trader bets 550k stock sell',0,1,-1
'congrats shorts',0,1,-1
'downbeaten stocks may ripe buys',0,0,1
'picked up like going 2014',0,0,1
'worst performers today mgm io 6',0,1,-1
'nt done good name pass',1,0,-1
'nothing down',0,0,-1
'bullish crossovers',0,0,1
'player onto 211 puts',0,0,-1
'someone wants',0,0,1
'pcln back up trendline',0,0,1
'found good bull setups week',1,0,1
'humming easing overbought',0,2,-1
'follow trend follow money flow',0,0,1
'up 19',0,0,1
'sector stocks leading today',1,0,1
'ron johnson tried failed inject bit apple culture jc penney',0,1,-1
'agree risky watching closely',0,1,-1
'breakout consolidation zone bot',0,0,1
'took small posistion tsla',0,0,-1
'flop would get everyone running fences',0,0,-1
'unusual call activity',0,0,1
'worst sentiment sp1500 stocks market close',0,1,-1
'new squeeze plays',0,0,-1
'people calling bearish heading exits already',0,1,-1
'long sq long 3300 sq',2,0,1
'fader play',0,0,-1
'sectors improved bullish breadth',1,0,1
'toprated' ,0,0,1
'stochastic overbought',0,1,-1
'china february retail sales ecommerce remains resilient',0,0,1
'china february retail sales ecommerce remains resilient',0,0,1
'large cap tech finally trying catch up rest market',0,0,1
'stock dropping hard',0,1,-1
'recall not impact financial results',0,0,1
'weak res',0,1,-1
'gap up today say heat coming',0,0,1
'toprated' ,0,0,1
'coming far could go far stock price implies you pay nothing business',0,0,1
'lnkd great doesnt potential side fb',1,0,1
'long endp 2623 agn bo rumor',1,0,1
'oil back above 60',0,0,1
'short setups looking nicereally nice',0,1,-1
'gist downgrades apple failed make phone th',0,2,-1
'another 3 gain rigl following last weeks huge call buying apr',1,0,1
'stx higher',0,0,1
'grpn much better day fb',1,0,-1
'stocks insiders bullish',0,0,1
'hipments track exceed forecasts',0,0,1
'lvmh affordable luxe fine helped dutyfree confident mainstream shoppers',1,0,1
'cover' ,1,0,1
'ss interest rose 1215 day hit lows httpstkscoc1qkr',0,0,-1
'bullish stocks dip',0,0,1
'fcx 19 march 36 puts 833',0,0,-1
'first quarter amazing',0,0,1
'sap q1 disappoints software licenses down real problem',0,2,-1
'todays losers',0,0,-1
'looking sharp move up equities',0,0,1
'gap fill coming up',0,0,1
'report apple signs up googles cloud uses much less amazon',0,0,-1
'fb 107 tomorrow show',0,0,1
'225 million new internet users added globally every year',0,0,1
'covered call',0,0,1
'long buying point',1,0,1
'ive picking up railroad stocks retirement acct',0,0,1
'turmoil mena region shippers perform',0,1,1
'going back slowly',0,1,1
'down 12 since alerted short sell 325',0,3,-1
'bet farm',0,0,1
'interest heats up yahoo yhoo',0,0,1
'parties volatility back',0,1,-1
'stocks higher afternoon trade',0,0,1
'highest call put ratio',1,0,1
'apparently intel thinks women get paid men intc gender pay parity 100',0,0,1
'gs looking weak market moving higher not good sign',1,1,-1
'1mil buy order',1,0,1
'top stocks',0,0,1
'top stocks 2015 ready lead 2016',0,0,1
'640m globally week avengers really sick stan lee beast',0,0,1
'plus irish based getting rid generic biz',0,0,1
'13f shows new stakes',0,0,1
'gap up today say heat coming',0,0,1
'breakout watch',0,0,1
'short setups looking nicereally nice',0,1,-1
'court tells states leave goog alone',0,0,1
'got nice push today',0,0,1
'unloaded 16673 worth ensign group inc nasdaqensg shares',0,0,-1
'23 end weekdid you snatch ur 21',0,0,1
'continues rally',0,0,1
'lawsuit russian search engine',0,0,-1
'oversold' ,0,0,1
'2 wks fund inflows first time',0,0,1
'mu down 23 today down 89',0,0,-1
'unusual call buying',0,0,1
'kous cocacola co 19oct positive',1,0,1
'sales weak margins down',0,1,-1
'broke resistance redtogreen',0,1,1
'ffiv up 7',0,0,1
'bot chrw',0,0,1
'breakout thru 50 200 dma short squeeze progress',1,1,1
'up 22 still holding',0,0,1
'bid reargument denied judge',0,1,-1
'upcoming first support days weeks',0,0,1
'cafn cachet financial solutions surging forward today post earnings up 1326',0,0,1
'lots green 5 min',0,0,1
'looking buy',1,0,1
'dont think right fit',0,0,-1
'stochastics finally starting turn up buying',0,0,1
'another sell rating',0,1,-1
'nice breakout nice stock',0,0,1
'launching shopping bot catalyst2016',0,0,1
'buy 3 stocks theres blood streets',1,0,1
'goldman sachs reiterates conviction buy',1,1,1
'losers profit',0,0,-1
'long term uptrend intract far',1,0,1
'trending' ,0,0,1
'adding dips',0,0,1
'added long friday close',1,0,1
'oversold' ,0,0,1
'picking up couple shares goog today',0,0,1
'broker shorts',0,1,-1
'sales numbers still holding up well igh end might not concern',0,1,1
'trying drag bidu',0,1,-1
'225 million new internet users added globally every year',0,0,1
'downgraded neutral deutsche bank price target reduced',0,1,-1
'five stocks helped starboard values equity portfolio return 65 q1',0,0,1
'buy zone today take swing trade profits',1,0,1
'big picture brilliant boywonder visionary zuck',1,0,1
'bounce right vol vol slid',0,0,1
'another story stock unhappy ending',0,1,-1
'love bullish',0,0,1
'bullish stocks dip',0,0,1
'mark zuckerberg amazing job',0,0,1
'todays top gainers',0,0,1
'history lack pr shame investors',0,1,-1
'closed friday rs line new highs',0,1,1
'look belooooooowwww',0,0,-1
'whole semiconductor space looks interesting',0,0,1
'combine 37 billion deal',0,0,1
'peaks above hod',0,0,1
'problem shorts every fund want buy thing pullback',1,2,1
'awesomely bullish stocks',0,0,1
'good base building',1,0,1
'biggest market losers',0,0,-1
'highest call put ratio',1,0,1
'ooks pretty bullish',0,0,1
'looks really interesting drop grabbed options stock',1,0,1
'okay',1,0,1
'add',0,0,1
'end up selling pennies dollar',0,1,-1
'looking sexy morning break volume',0,1,1
'imagine aapl tv impact',0,0,1
'southwest lowest multiple ever',0,0,1
'still early entry',0,0,-1
'moved upper bollinger band',0,0,1
'notokay anyone products',0,1,-1
'short setups looking nicereally nice',0,1,-1
'still long term fan',1,0,1
'nice reversal',0,0,1
'tripadvisor jumps rumors',0,0,1
'tsla recalls 2700 model x vehicle shares volatile',0,2,-1
'long tech calls',1,0,1
'breakout confirmed upturn',1,0,1
'best performers',1,0,1
'tight avail stock shorting',0,1,-1
'get wfm mjn',0,0,1
'stochastic overbought',0,1,-1
'notokay target area',0,1,-1
'oversold',0,0,1
'double top reject',0,1,-1
'added bounce',0,0,1
'working cuba deals',0,0,1
'dividend hike green light',0,0,1
'excited plays',1,0,1
'commodity weakness',0,1,-1
'fb small flong 10925 via calls',0,0,1
'nice breakout recent consolidation',0,0,1
'sells flati',0,0,-1
'airplane hospitality industries set sights cuba',0,0,1
'reserves decline',0,1,1
'pie sky',0,0,1
'first quarter amazing',0,0,1
'tfm way go price wise compete kroger kr',0,0,1
'sector stocks leading today',1,0,1
'biggest st50 gainers',0,0,1
'bears take clear near term advantage',1,0,-1
'onetime zombie stock rise',1,0,1
'todays bull flag',0,0,1
'iphone se could better expected',1,0,1
'up 200 stocks making new 52 week highs',0,0,1
'would short amzn rally',0,1,-1
'losing 1 billion vrx',0,1,-1
'cat 510',0,0,1
'top 10 brands millennials aapl 1 fb way list 65',0,0,1
'looking tasty',0,0,1
'okay position',1,0,1
'nice day rally',0,0,1
'damn low priced stocks',0,1,-1
'spy bubble stock notokay',0,1,-1
'sell signal ndx internals technical sell',0,2,-1
'bullshit',0,1,-1
'x 227',0,0,1
'another one add already happily holding',1,0,1
'rsi down 20',0,0,1
'baba going interesting one',0,0,1
'buy dip',1,0,1
'theres reason googl cant get back 1000',0,0,1
'short',0,1,-1
'equity indexes working positive engulfing march',1,0,1
'highest call put ratio',1,0,1
'oil slid fouryear low opec kept oil production unchange',0,0,-1
'unusual call activity',0,0,1
'green lol makeup cover ugliness',1,0,1
'slight green may runner later',0,0,1
'pivotal sees 27 upside alphabet',0,0,1
'refuse worst decisions ever',0,2,-1
'profitable hard software product innovator',2,0,1
'msft opening up xboxlive online service',0,0,1
'gooo',0,0,1
'sold 81 calls',0,0,-1
'resistance right sold shares',0,0,-1
'holding',0,0,1
'gevos alcohol jet fuel eligible used commercial flight',0,0,1
'stocks support w high trade quality',0,0,1
'finally broke free big brothers shadow',0,1,1
'like ascending triangle breakout coming monday',0,0,1
'id short fast',0,1,-1
'play longs',1,0,1
'trending',0,0,1
'supermarket stocks rally tesco plans axe noncore uk assets',0,0,1
'kre',0,0,-1
'time accumulate long position far upside downside',1,0,1
'oil break adding chevron',0,1,1
'found good bull setups week',1,0,1
'sets up breakout',0,0,1
'winning pick week',1,0,1
'calls popping 5',0,0,1
'double bottom 52',0,0,1
'lets see one dip',0,0,-1
'consistent gains small one favorite trade',2,0,1
'cusp major bollinger breakout daily sitting right 200 day ema force strong',1,1,1
'hanging tough down market due analyst upgrades up almost 3',0,0,1
'coal stocks poking head up nice weekly candle',0,0,1
'still holding',0,0,1
'exceptionally bullish romney mkt economy',1,0,1
'midsingle digits ebitda growth',0,0,1
'posts 60 percent jump 4q profit steep global sales increase',0,0,1
'loving btu coal stocks',0,0,1
'fundamentally nothing changed',0,0,1
'stares abyss',0,0,-1
'smartphone wars wound samsung',0,0,1
'growth not high pe stock',0,0,1
'long morning',1,0,1
'took proprietary profit exit notokay option liquidity',0,1,-1
'gained average 09 week last nine years',1,0,1
'added gild position started new one bwld',0,0,1
'investor longterm stock recommendation',0,0,1
'eps growth around 12 far',0,0,1
'easonably priced high growth institutional fave glamour name going least 30 higher',0,0,1
'bull day',0,0,1
'lets go up gilead',0,0,1
'european debt keeps stocks down',0,0,-1
'nice little cupandhandle shaping up favours good day index',1,0,1
'dumped pypl prlb',0,1,-1
'top netpayoutyields',0,0,1
'cfo sees profitability cash flow positive',2,0,1
'price target raised',0,0,1
'sad see loved company eating dirt',1,2,-1
'up 19',0,0,1
'cash burn',0,0,1
'downbeaten stocks may ripe buys',0,0,1
'aggressive buy',1,0,1
'long favorite covered call',2,0,1
'close above 2864 ready rock roll',0,0,1
'cold put dent massive horizontal rig production',0,0,-1
'long look like 510 run awaits',1,0,1
'accumulating bsmx pullback',0,0,1
'record number passengers served 2015',0,0,1
'trail up',0,0,1
'bullshit applestores empty china',0,1,-1
'downgrade',0,1,-1
'another strong rail today breaking intraday resistance',1,1,1
'heard netflix raising prices good worth though',1,0,1
'stocks insiders bullish',0,0,1
'markets still acting weak',0,1,-1
'top netpayoutyields',0,0,1
's1 above gap keeping eye s2',0,0,1
'shorts likely take profits close',0,1,-1
'ripping early',0,0,1
'keeping stops bit tight side',0,1,1
'receives 7year 50m contract',0,0,1
'splat poor q1 orders',0,1,-1
'oil prices down oil stocks looking less cheap',0,0,-1
'finding support',0,0,1
'googl patents turn signal detector autonomous cars',0,0,1
'wants lower up waves getting smaller',0,0,-1
'add' ,0,0,1
'see 20 percent upside fb shares',0,0,1
'great growth stk also raised dividend clearly great investment',2,0,1
'endp sued ft nobody buy hanging heads',1,1,-1
'breaking 52 week highs timing looks great',1,1,1
'largecap growth fundholders get lift',0,0,1
'progress witnessed truly stunning',1,0,1
'trying drag bidu',0,1,-1
'60 short interest not',0,1,-1
'momo leaders taken down one one',0,0,-1
'stochastic overbought',0,1,-1
'new squeeze plays',0,0,-1
'active puts',0,0,-1
'mulls sale 1 billion venture capital portfolio',0,0,1
'strong buy within month',2,0,1
'buy 3 stocks theres blood streets',1,0,1
'im watchingand buy targets',1,0,1
'yhoo lost 50 since nov 14',0,1,-1
'wouldnt surprised see green close',0,0,1
'failed breakouts failed setups limping crutches next week',0,2,-1
'highflyers falling',0,1,-1
'decision sell robot business exposes growing pains',0,2,-1
'stocks insiders bullish',0,0,1
'upgraded buy alpha street research',1,0,1
'worth chance',0,0,1
'rally friday new52weekhighs',0,0,1
'expects break even',0,1,1
'higher' ,0,0,1
'adobe receives new rating top analyst',0,0,1
'alot worry',0,1,-1
'huge buy names',1,0,1
'msft higher expected',0,0,1
'verizon still bidder beat',0,0,1
'could pride social media gettin ready fall chart rolling',0,1,-1
'gold going parabolic keep chasing tops boys',0,0,1
'hold media bs you profitable patience key',1,0,1
'biggest market losers',0,0,-1
'sectorbreadth strongest sector industrials 86 bullishness',1,0,1
'uch bloated valuation',0,0,-1
'love blood like vampirekeep bleeding',0,0,-1
'fb ibb still weak',0,1,-1
'bull candle',0,0,1
'ief bullish',0,0,1
'best scenario going forward stock slowly falling everyday',1,2,-1
'plus irish based getting rid generic biz',0,0,1
'todays losers',0,0,-1
'thats you want buy',1,0,1
'stochastic overbought',0,1,-1
'long position',1,0,1
'new hod',0,0,1
'longs' ,1,0,1
'beat up ah',0,0,1
'down 25 since tue morning',0,0,-1
'10 dividend increase rewards patient investors future looks bright',1,0,1
'go long exp imo',1,0,1
'bought little yesterda hoping earnings pop',0,0,1
'long term uptrend broke 4 year resistance',1,1,1
'sets up breakout',0,0,1
'picked up calm',0,0,1
'advance announce licensing agreement',0,0,1
'gets patent goes up 20 today',1,0,1
'notokay neither wall street',0,1,-1
'gale stacks up poorly insider ownership',1,1,-1
'nice day rally',0,0,1
'oversold' ,0,0,1
'took small position',0,0,1
'amazon signed deal lease 20 boeing 767 cargo planes',0,0,1
'todays losers',0,0,-1
'up 580',0,0,1
'eps growth around 12 far',0,0,1
'top netpayoutyields',0,0,1
'next major platform',0,0,1
'dailymail content perfect yhoo demographics',1,0,1
'investors nervous outlook',0,1,-1
'money flow positive',1,0,1
'electronic arts attracts investors',0,0,1
'biggest market losers',0,0,-1
'down 543',0,0,-1
'multiple expansion intact well',0,0,1
'added regn 402',0,0,1
'plunging back',0,0,-1
'running' ,0,0,1
'add fxp skf positions',0,0,1
'get ready 560 flush',0,1,-1
'needs new tablet strategy',0,0,-1
'taking profits',0,0,-1
'down day biotechs good load up',1,0,1
'still loving today',0,0,1
'breaking 52 week highs timing looks great',1,1,1
'timberrrr',0,0,-1
'best stocks 2012',1,0,1
'double bottom could',0,0,1
'3star analyst joe wittine longbow research reiterated hold rating',0,0,1
'accumulation chart continues make new highs showing accumulation continuing take place',0,0,1
'apple hires former amazon executive george stathakopoulos head corporate data security',0,0,1
'slipping' ,0,1,-1
'bullish reversal setup breakout',0,0,1
'near hod',0,0,1
'moodys downgrade',0,1,-1
'markets back black 2016',0,0,1
'amd two dollar spec play ur penny scalps cost u wirs',0,0,-1
'sell signal ndx internals technical sell',0,2,-1
'invest elon',0,0,1
'still position',0,0,1
'receivable going zero',0,0,-1
'cisco also lower',0,0,-1
'bullish crossovers',0,0,1
'sell rht',0,1,-1
'play longs',1,0,1
'next 56 charts illustrate bullish weekly outcome',0,0,1
'would buy wtsl prices',1,0,1
'positive comments ms',1,0,1
'drugs biotech getting perky',0,0,1
'wants ta ceo says taxes may make co leave',0,0,-1
'companies shld worried icloud',0,0,-1
'negative pl hardware',0,1,-1
'eyes disposals bid appease city backers',0,0,1
'long' ,1,0,1
'pie sky',0,0,1
'afternoon selloff usual brutal get ready lose ton money',0,3,-1
'short markets tank',0,1,-1
'great cash balance impressive growth rate',2,0,1
'calls nice gains still holding',1,0,1
'top holdings',0,0,1
'getting' ,0,0,-1
'strong 5min above bollies',1,0,1
'google soon start selling chromebooks walmart staples',0,1,1
'broke bull flag channel make new highs',0,1,1
'services like nflx hulu growing much faster cable',0,0,1
'top stocks',0,0,1
'goldman sachs reiterates conviction buy',1,1,1
'oil prices down oil stocks looking less cheap',0,0,-1
'got' ,0,0,1
'favorite stocks',1,0,1
'buy' ,1,0,1
'run run amzn up 44',0,0,1
'consumers keep cautious stance',0,0,-1
'longerterm technical swing long basis',1,0,1
'fb taking shine aapl goog',0,0,-1
'broken major horizontal resistance',0,1,1
'pie sky',0,0,1
'balancing roic growth create value',0,0,1
'locked fb puts nice gain',1,0,-1
'close around 34 good sign tom continue upwards',1,0,1
'stochastic overbought',0,1,-1
'not time low lower',0,0,-1
'one go long money rotating large cap tech',1,0,1
'looks great bullish',1,0,1
'starting show relative strength',1,0,1
'time stomp dreams',0,0,-1
